Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,2.020064e+03,2.670768e+02,2.100371e+03,6.518324e+01
compressibility,dimensionless,7.337536e-02,1.013510e-02,6.849256e-01,1.088914e-02
density,chains / nm**3,3.749620e+00,2.893656e-02,4.403738e-01,2.416684e-02
