Property,Units,High Density Mean,High Density Standard Deviation,Low Density Mean,Low Density Standard Deviation
pressure above threshold,kPa,1.852854e+03,1.102542e+04,2.141498e+03,1.032241e+03
compressibility above threshold,dimensionless,6.929400e-02,4.152684e-01,6.787985e-01,3.222719e-01
density,chains / nm**3,3.768648e+00,6.035090e-02,4.496627e-01,4.506279e-02
