Property,Units,High Density Mean,High Density Standard Deviation,Low Density Mean,Low Density Standard Deviation
pressure above threshold,kPa,1.997313e+03,1.117264e+04,2.119894e+03,1.011196e+03
compressibility above threshold,dimensionless,7.456911e-02,4.201320e-01,6.897456e-01,3.271104e-01
density,chains / nm**3,3.773341e+00,6.850579e-02,4.374513e-01,3.357402e-02
