Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,2.137908e+03,2.298851e+02,2.126569e+03,3.877314e+01
compressibility,dimensionless,7.778540e-02,7.885562e-03,6.771061e-01,1.310568e-02
density,chains / nm**3,3.760078e+00,1.621512e-02,4.531197e-01,2.383926e-02
