Property,Units,High Density Mean,High Density Standard Deviation,Low Density Mean,Low Density Standard Deviation
pressure above threshold,kPa,1.942336e+03,1.099903e+04,2.031735e+03,9.467218e+02
compressibility above threshold,dimensionless,7.283419e-02,4.154239e-01,7.035212e-01,3.248121e-01
density,chains / nm**3,3.757380e+00,6.018780e-02,4.110205e-01,3.220826e-02
