Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,1.998717e+03,3.435674e+02,2.058146e+03,4.792988e+01
compressibility,dimensionless,7.254871e-02,1.379606e-02,6.901906e-01,1.419115e-02
density,chains / nm**3,3.748549e+00,2.890261e-02,4.298339e-01,1.829411e-02
