Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,2.213177e+03,2.846572e+02,2.116271e+03,4.326728e+01
compressibility,dimensionless,8.062130e-02,1.147703e-02,6.831191e-01,1.052931e-02
density,chains / nm**3,3.768536e+00,3.923782e-02,4.454856e-01,2.668532e-02
