Property,Units,High Density Mean,High Density Standard Deviation,Low Density Mean,Low Density Standard Deviation
pressure above threshold,kPa,3.346264e+03,5.648552e+03,3.442719e+03,2.457172e+03
compressibility above threshold,dimensionless,1.435141e-01,2.420809e-01,5.375294e-01,3.825631e-01
density,chains / nm**3,3.094798e+00,6.680116e-02,8.579348e-01,9.752717e-02
