Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,2.070780e+03,1.380410e+02,2.087283e+03,5.869849e+01
compressibility,dimensionless,7.572209e-02,6.440946e-03,6.880456e-01,1.117713e-02
density,chains / nm**3,3.748049e+00,1.912930e-02,4.368269e-01,1.779781e-02
