Property,Units,High Density Mean,High Density Standard Deviation,Low Density Mean,Low Density Standard Deviation
pressure above threshold,kPa,1.851405e+03,1.095685e+04,2.084455e+03,9.602678e+02
compressibility above threshold,dimensionless,6.929939e-02,4.132028e-01,6.963794e-01,3.188057e-01
density,chains / nm**3,3.763479e+00,6.674795e-02,4.266040e-01,3.641498e-02
