Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,3.485663e+03,1.128419e+02,3.401809e+03,1.139839e+02
compressibility,dimensionless,1.496345e-01,3.259137e-03,5.159973e-01,2.485068e-02
density,chains / nm**3,3.074505e+00,8.440258e-02,9.211417e-01,1.221255e-01
