Property,Units,High Density Mean,High Density Standard Deviation,Low Density Mean,Low Density Standard Deviation
pressure above threshold,kPa,2.093129e+03,1.104177e+04,2.108686e+03,9.983374e+02
compressibility above threshold,dimensionless,7.797911e-02,4.136848e-01,6.837158e-01,3.217133e-01
density,chains / nm**3,3.788057e+00,5.857856e-02,4.392493e-01,3.571955e-02
