Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,2.021011e+03,1.460444e+02,2.064342e+03,2.784283e+01
compressibility,dimensionless,7.373345e-02,4.544134e-03,6.897393e-01,9.338112e-03
density,chains / nm**3,3.747916e+00,2.096317e-02,4.298075e-01,9.824893e-03
