Property,Units,High Density Mean,High Density Standard Deviation,Low Density Mean,Low Density Standard Deviation
pressure above threshold,kPa,1.895147e+03,1.099154e+04,2.070278e+03,9.728615e+02
compressibility above threshold,dimensionless,7.092282e-02,4.141879e-01,6.946816e-01,3.237611e-01
density,chains / nm**3,3.766011e+00,6.248288e-02,4.243107e-01,3.625562e-02
