Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,3.421947e+03,1.341144e+02,3.404160e+03,7.610907e+01
compressibility,dimensionless,1.465490e-01,5.979472e-03,5.221981e-01,1.602105e-02
density,chains / nm**3,3.083271e+00,5.478068e-02,9.189895e-01,1.787992e-01
