Property,Units,High Density Mean,High Density Standard Deviation,Low Density Mean,Low Density Standard Deviation
pressure above threshold,kPa,3.438085e+03,5.842071e+03,3.362519e+03,2.299753e+03
compressibility above threshold,dimensionless,1.457090e-01,2.475308e-01,5.640206e-01,3.823869e-01
density,chains / nm**3,3.130796e+00,7.501735e-02,7.982198e-01,9.263302e-02
