Property,Units,High Density Mean,High Density Standard Deviation,Low Density Mean,Low Density Standard Deviation
pressure above threshold,kPa,2.037465e+03,1.103659e+04,2.043784e+03,9.626764e+02
compressibility above threshold,dimensionless,7.595810e-02,4.143047e-01,6.989668e-01,3.267967e-01
density,chains / nm**3,3.778925e+00,5.791419e-02,4.162022e-01,2.993362e-02
