Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,2.098574e+03,1.707487e+02,2.066237e+03,2.638400e+01
compressibility,dimensionless,7.617297e-02,6.730342e-03,6.946165e-01,1.281212e-02
density,chains / nm**3,3.761685e+00,1.677770e-02,4.280523e-01,1.668321e-02
