Property,Units,High Density Mean,High Density Standard Deviation,Low Density Mean,Low Density Standard Deviation
pressure above threshold,kPa,2.755632e+03,4.653776e+03,3.255384e+03,2.517827e+03
compressibility above threshold,dimensionless,1.320504e-01,2.232533e-01,5.968225e-01,4.582520e-01
density,chains / nm**3,2.770248e+00,6.012573e-02,7.275545e-01,6.506715e-02
