Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,3.434044e+03,1.052614e+02,3.445235e+03,7.815343e+01
compressibility,dimensionless,1.468921e-01,5.440912e-03,5.037248e-01,1.946199e-02
density,chains / nm**3,3.088301e+00,3.434672e-02,9.492462e-01,1.178289e-01
