Property,Units,High Density Mean,High Density Standard Deviation,Low Density Mean,Low Density Standard Deviation
pressure above threshold,kPa,1.919733e+03,1.091949e+04,2.043524e+03,9.349377e+02
compressibility above threshold,dimensionless,7.208189e-02,4.128453e-01,7.119028e-01,3.246772e-01
density,chains / nm**3,3.754510e+00,6.366478e-02,4.086518e-01,2.784862e-02
