Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,3.554750e+03,9.421322e+01,3.497738e+03,8.585346e+01
compressibility,dimensionless,1.513118e-01,5.765137e-03,5.034027e-01,2.659502e-02
density,chains / nm**3,3.100859e+00,5.855423e-02,9.538030e-01,6.219487e-02
