Property,Units,High Density Mean,High Density Standard Deviation,Low Density Mean,Low Density Standard Deviation
pressure above threshold,kPa,1.891272e+03,1.090053e+04,2.072497e+03,9.843697e+02
compressibility above threshold,dimensionless,7.093249e-02,4.112567e-01,6.947238e-01,3.270750e-01
density,chains / nm**3,3.762531e+00,6.539736e-02,4.246949e-01,3.382289e-02
