Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,2.060585e+03,2.177565e+02,2.095942e+03,4.434882e+01
compressibility,dimensionless,7.491746e-02,8.233415e-03,6.878169e-01,1.175750e-02
density,chains / nm**3,3.750600e+00,2.126104e-02,4.378934e-01,2.403583e-02
