Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,3.492126e+03,8.940920e+01,3.380515e+03,8.051358e+01
compressibility,dimensionless,1.505209e-01,2.985744e-03,5.372552e-01,1.572527e-02
density,chains / nm**3,3.064617e+00,6.124711e-02,8.668557e-01,1.019430e-01
