Property,Units,High Density Mean,High Density Standard Deviation,Low Density Mean,Low Density Standard Deviation
pressure above threshold,kPa,1.942655e+03,1.120776e+04,2.057775e+03,9.671836e+02
compressibility above threshold,dimensionless,7.269592e-02,4.225042e-01,6.942550e-01,3.240262e-01
density,chains / nm**3,3.764851e+00,6.432102e-02,4.218339e-01,3.086238e-02
