Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,2.161729e+03,2.174966e+02,2.084132e+03,5.115010e+01
compressibility,dimensionless,7.895501e-02,1.002603e-02,6.878005e-01,1.090434e-02
density,chains / nm**3,3.754615e+00,2.949721e-02,4.356168e-01,2.445006e-02
