Property,Units,High Density Mean,High Density Standard Deviation,Low Density Mean,Low Density Standard Deviation
pressure above threshold,kPa,3.430270e+03,5.723695e+03,3.350458e+03,2.235317e+03
compressibility above threshold,dimensionless,1.471724e-01,2.452749e-01,5.683160e-01,3.770402e-01
density,chains / nm**3,3.095827e+00,9.055970e-02,7.879704e-01,7.517693e-02
