Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,3.402310e+03,1.261242e+02,3.367659e+03,8.395007e+01
compressibility,dimensionless,1.467382e-01,5.463760e-03,5.418039e-01,2.513457e-02
density,chains / nm**3,3.064880e+00,4.788248e-02,8.610395e-01,1.384169e-01
