Property,Units,High Density Mean,High Density Standard Deviation,Low Density Mean,Low Density Standard Deviation
pressure above threshold,kPa,1.974082e+03,1.086042e+04,2.033712e+03,9.469964e+02
compressibility above threshold,dimensionless,7.416524e-02,4.106580e-01,7.055872e-01,3.243788e-01
density,chains / nm**3,3.754180e+00,6.207241e-02,4.102782e-01,3.429059e-02
