Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,2.008483e+03,3.059188e+02,2.057369e+03,5.754089e+01
compressibility,dimensionless,7.345624e-02,1.276144e-02,6.948755e-01,9.564589e-03
density,chains / nm**3,3.739621e+00,2.428047e-02,4.260541e-01,2.555435e-02
