Property,Units,High Density Mean,High Density Standard Deviation,Low Density Mean,Low Density Standard Deviation
pressure above threshold,kPa,3.233014e+03,5.694747e+03,3.386289e+03,2.292532e+03
compressibility above threshold,dimensionless,1.383505e-01,2.437215e-01,5.564651e-01,3.745855e-01
density,chains / nm**3,3.101458e+00,7.700598e-02,8.131205e-01,7.738788e-02
