Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,3.356503e+03,1.892124e+02,3.399585e+03,9.181089e+01
compressibility,dimensionless,1.435607e-01,6.161045e-03,5.333115e-01,1.575090e-02
density,chains / nm**3,3.085223e+00,4.170708e-02,8.801742e-01,8.366282e-02
