Property,Units,High Density Mean,High Density Standard Deviation,Low Density Mean,Low Density Standard Deviation
pressure above threshold,kPa,3.309526e+03,5.722393e+03,3.307566e+03,2.224996e+03
compressibility above threshold,dimensionless,1.419681e-01,2.452559e-01,5.724981e-01,3.831180e-01
density,chains / nm**3,3.092469e+00,7.575216e-02,7.723757e-01,7.528375e-02
