Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,3.384274e+03,1.316506e+02,3.406651e+03,4.301925e+01
compressibility,dimensionless,1.453175e-01,4.397841e-03,5.298666e-01,2.431535e-02
density,chains / nm**3,3.073336e+00,6.908560e-02,8.956800e-01,1.624022e-01
