Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,3.460539e+03,1.600545e+02,3.417792e+03,5.153509e+01
compressibility,dimensionless,1.484810e-01,4.990338e-03,5.292843e-01,2.546963e-02
density,chains / nm**3,3.080031e+00,8.922938e-02,8.992356e-01,1.195748e-01
