Property,Units,High Density Mean,High Density Standard Deviation,Low Density Mean,Low Density Standard Deviation
pressure above threshold,kPa,3.274118e+03,5.829884e+03,3.402291e+03,2.375760e+03
compressibility above threshold,dimensionless,1.391418e-01,2.476724e-01,5.535860e-01,3.850803e-01
density,chains / nm**3,3.125393e+00,7.450009e-02,8.291034e-01,1.211199e-01
