Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,2.098969e+03,2.369417e+02,2.062931e+03,4.847996e+01
compressibility,dimensionless,7.624636e-02,8.656909e-03,6.849883e-01,1.470183e-02
density,chains / nm**3,3.761280e+00,1.330295e-02,4.324487e-01,1.389455e-02
