Property,Units,Box 1 Density Mean,Box 1 Density Standard Deviation,Box 2 Density Mean,Box 2 Density Standard Deviation
pressure,kPa,2.256102e+03,1.559819e+02,2.110617e+03,5.759014e+01
compressibility,dimensionless,8.215015e-02,7.345481e-03,6.714300e-01,1.347590e-02
density,chains / nm**3,3.752243e+00,3.984135e-02,4.546429e-01,2.937893e-02
